case_id,date,crime_type,district,latitude,longitude,offender_age,offender_gender,victim_age,victim_gender,time_of_day,season,prior_offenses,recidivism,severity_score,arrest_made,weapon_used,gang_related
CASE00039,2020-01-10,Vandalism,Northwest,13.023051,77.693312,49,Male,71,Male,Afternoon,Winter,1,No,4.47,Yes,No,No
CASE00040,2020-01-10,Burglary,Downtown,13.052085,77.588148,61,Male,41,Male,Afternoon,Winter,9,No,2.01,Yes,Yes,No
CASE00041,2020-01-11,Theft,Central,13.002584,77.552081,18,Male,67,Male,Morning,Summer,8,No,9.52,Yes,No,No
CASE00042,2020-01-11,Robbery,Southeast,13.040817,77.66768,20,Male,59,Male,Afternoon,Summer,4,Yes,5.77,No,No,Yes
CASE00043,2020-01-11,Theft,North,13.087034,77.643124,29,Male,47,Male,Night,Summer,5,Yes,3.55,Yes,Yes,No
CASE00044,2020-01-11,Sexual Offense,East,12.975161,77.637388,18,Male,64,Male,Morning,Summer,5,No,4.15,No,Yes,No
CASE00045,2020-01-12,Assault,East,13.041624,77.678623,38,Male,37,Female,Morning,Winter,2,No,3.44,No,No,No
CASE00046,2020-01-12,Fraud,Southwest,12.995138,77.637883,54,Male,31,Female,Morning,Autumn,9,No,6.42,No,Yes,No
CASE00047,2020-01-12,Assault,Central,13.03488,77.55676,45,Male,52,Male,Afternoon,Autumn,6,Yes,9.37,No,Yes,No
CASE00048,2020-01-12,Robbery,Southwest,13.052579,77.638773,60,Male,45,Female,Morning,Summer,6,No,8.71,Yes,No,No
CASE00049,2020-01-13,Robbery,Southwest,12.909091,77.561163,38,Male,61,Male,Evening,Spring,7,Yes,5.14,Yes,No,Yes
CASE00050,2020-01-13,Theft,North,13.02932,77.651848,42,Male,45,Male,Evening,Summer,4,No,8.44,Yes,Yes,Yes
CASE00051,2020-01-13,Kidnapping,South,12.945348,77.62395,25,Male,37,Male,Afternoon,Autumn,1,Yes,4.81,No,No,No
CASE00052,2020-01-13,Drug Offense,Central,13.034007,77.515482,40,Male,67,Female,Morning,Spring,2,Yes,3.27,Yes,No,No
CASE00053,2020-01-14,Sexual Offense,West,12.993666,77.602567,28,Female,45,Male,Night,Summer,8,Yes,9.85,Yes,No,No
CASE00054,2020-01-14,Sexual Offense,Downtown,13.054711,77.56866,31,Female,79,Female,Night,Spring,5,No,3.73,No,No,No
CASE00055,2020-01-14,Fraud,Southwest,12.92468,77.565714,56,Male,18,Female,Evening,Summer,7,No,3.91,No,No,No
CASE00056,2020-01-14,Sexual Offense,Northwest,13.025264,77.620451,49,Male,30,Female,Afternoon,Winter,7,Yes,9.91,No,Yes,No
CASE00057,2020-01-15,Theft,Northeast,12.955694,77.564465,52,Male,73,Female,Afternoon,Autumn,4,Yes,2.21,No,No,No
CASE00058,2020-01-15,Theft,Northwest,13.070596,77.655379,37,Male,70,Female,Afternoon,Summer,0,Yes,7.84,Yes,Yes,No
CASE00059,2020-01-15,Theft,North,13.085677,77.514158,32,Female,49,Male,Afternoon,Spring,5,No,9.42,No,Yes,No
CASE00060,2020-01-15,Assault,North,13.09928,77.632078,38,Male,65,Male,Afternoon,Autumn,6,Yes,5.61,Yes,No,No
CASE00061,2020-01-16,Burglary,Southeast,13.059201,77.661839,51,Male,13,Female,Morning,Summer,8,Yes,1.02,No,Yes,No
CASE00062,2020-01-16,Assault,South,13.050747,77.634566,64,Male,40,Female,Morning,Summer,1,No,4.38,Yes,No,No
CASE00063,2020-01-16,Drug Offense,Downtown,12.9431,77.599446,24,Male,36,Male,Morning,Summer,1,No,2.0,Yes,No,Yes
CASE00064,2020-01-16,Burglary,Southwest,12.967201,77.690061,17,Male,67,Male,Night,Summer,9,No,4.75,No,No,No
CASE00065,2020-01-17,Assault,Northwest,12.993137,77.559988,47,Male,34,Male,Morning,Winter,0,No,8.11,Yes,Yes,No
CASE00066,2020-01-17,Robbery,Northeast,13.054676,77.503834,37,Male,78,Male,Afternoon,Autumn,4,No,4.95,No,No,No
CASE00067,2020-01-17,Theft,North,13.082993,77.586398,58,Male,79,Male,Afternoon,Winter,1,Yes,4.89,No,No,No
CASE00068,2020-01-17,Drug Offense,North,12.937828,77.506602,28,Unknown,14,Female,Night,Autumn,2,No,6.01,No,No,No
CASE00069,2020-01-18,Theft,South,13.084473,77.690787,23,Female,17,Female,Night,Summer,1,No,6.24,Yes,No,No
CASE00070,2020-01-18,Kidnapping,Northeast,13.039125,77.541984,16,Male,18,Female,Evening,Autumn,3,No,8.71,Yes,Yes,No
CASE00071,2020-01-18,Drug Offense,Northeast,13.022154,77.657785,32,Male,24,Female,Night,Spring,2,No,3.78,No,Yes,No
CASE00072,2020-01-18,Theft,South,12.939968,77.654914,27,Male,16,Female,Evening,Autumn,8,No,8.4,No,No,Yes
CASE00073,2020-01-19,Theft,North,12.911105,77.543546,19,Male,24,Male,Morning,Spring,9,Yes,6.09,Yes,Yes,No
CASE00074,2020-01-19,Drug Offense,Downtown,13.013693,77.624245,28,Male,46,Male,Afternoon,Spring,1,Yes,3.7,Yes,No,No
CASE00075,2020-01-19,Vandalism,Central,13.030303,77.509616,46,Male,48,Female,Evening,Winter,6,No,3.66,Yes,No,No
CASE00076,2020-01-19,Vandalism,Central,12.942156,77.596715,56,Female,15,Female,Evening,Autumn,2,No,4.25,No,No,No
CASE00077,2020-01-20,Drug Offense,South,13.011291,77.502929,22,Male,66,Male,Evening,Summer,9,No,6.6,Yes,No,No
CASE00078,2020-01-20,Theft,Northeast,13.071299,77.684229,38,Male,28,Unknown,Night,Autumn,7,No,3.08,Yes,No,No
CASE00079,2020-01-20,Burglary,Southwest,13.067013,77.695217,39,Male,72,Male,Night,Winter,3,No,9.28,No,No,No
CASE00080,2020-01-20,Theft,South,13.085471,77.544457,20,Male,40,Male,Night,Spring,3,Yes,6.17,Yes,No,No
CASE00081,2020-01-21,Homicide,Downtown,12.973177,77.541621,20,Male,19,Male,Evening,Spring,8,No,9.28,No,No,No
CASE00082,2020-01-21,Fraud,South,12.96361,77.650744,32,Female,76,Male,Morning,Winter,2,No,1.42,Yes,No,Yes
CASE00083,2020-01-21,Assault,East,13.049885,77.550676,45,Female,71,Female,Afternoon,Winter,6,Yes,4.08,Yes,No,No
CASE00084,2020-01-21,Theft,Northwest,12.986222,77.679015,24,Male,12,Unknown,Night,Autumn,0,No,1.21,Yes,No,No
CASE00085,2020-01-22,Assault,Northeast,12.91751,77.614786,21,Male,27,Male,Morning,Spring,6,Yes,3.45,Yes,No,No
CASE00086,2020-01-22,Assault,Southeast,12.95656,77.570156,40,Female,34,Unknown,Night,Winter,9,No,8.76,Yes,Yes,No
CASE00087,2020-01-22,Vandalism,Southeast,12.983716,77.666539,34,Male,29,Female,Night,Autumn,1,Yes,1.33,Yes,Yes,No
CASE00088,2020-01-22,Fraud,Northeast,12.958503,77.598681,31,Female,67,Female,Evening,Autumn,5,No,4.93,Yes,Yes,No
CASE00089,2020-01-23,Sexual Offense,Downtown,12.966441,77.682327,36,Male,59,Female,Evening,Summer,8,No,2.06,No,Yes,No
CASE00090,2020-01-23,Robbery,East,12.958755,77.685603,17,Male,19,Male,Night,Spring,5,No,4.75,Yes,No,No
CASE00091,2020-01-23,Theft,East,12.9083,77.533084,25,Male,30,Female,Afternoon,Autumn,2,No,8.55,No,Yes,No
CASE00092,2020-01-23,Vandalism,North,13.027419,77.500465,31,Male,38,Male,Night,Winter,0,Yes,6.61,No,No,No
CASE00093,2020-01-24,Drug Offense,Northwest,13.019458,77.696786,52,Female,19,Female,Afternoon,Spring,3,No,7.63,Yes,No,No
CASE00094,2020-01-24,Robbery,Central,13.030677,77.681228,30,Male,22,Male,Morning,Winter,3,No,4.14,Yes,Yes,No
CASE00095,2020-01-24,Drug Offense,West,12.938462,77.511089,28,Male,56,Female,Night,Winter,7,No,9.5,Yes,Yes,No
CASE00096,2020-01-24,Robbery,Downtown,12.959131,77.666607,28,Male,32,Female,Afternoon,Autumn,9,No,7.38,Yes,No,No
CASE00097,2020-01-25,Robbery,West,13.023923,77.591561,47,Female,59,Male,Morning,Autumn,9,Yes,4.8,Yes,No,No
CASE00098,2020-01-25,Burglary,West,13.019926,77.551792,60,Male,13,Male,Morning,Summer,6,Yes,4.84,Yes,No,No
CASE00099,2020-01-25,Theft,Northeast,13.001266,77.675749,62,Female,76,Female,Evening,Winter,9,No,9.27,No,No,No
CASE00100,2020-01-25,Theft,Southeast,12.970083,77.539333,61,Male,62,Female,Morning,Autumn,6,No,6.19,Yes,No,No
CASE00101,2020-01-26,Theft,Southeast,13.082586,77.68946,23,Male,11,Male,Evening,Summer,6,Yes,7.36,Yes,No,No
CASE00102,2020-01-26,Fraud,Central,12.967954,77.541124,58,Male,77,Female,Morning,Spring,1,No,4.75,Yes,Yes,No
CASE00103,2020-01-26,Assault,Northeast,12.991124,77.622737,33,Male,74,Male,Morning,Summer,8,No,3.01,No,No,No
CASE00104,2020-01-26,Robbery,West,13.035623,77.544617,51,Male,66,Male,Afternoon,Summer,5,No,7.51,Yes,Yes,Yes
CASE00105,2020-01-27,Sexual Offense,Southwest,13.008604,77.609134,41,Male,79,Male,Afternoon,Winter,1,No,6.47,No,No,No
CASE00106,2020-01-27,Assault,Southeast,12.969377,77.636795,25,Male,16,Male,Evening,Spring,0,No,5.51,Yes,No,Yes
CASE00107,2020-01-27,Burglary,Downtown,12.987129,77.538046,46,Male,28,Female,Night,Winter,0,No,6.62,No,No,No
CASE00108,2020-01-27,Drug Offense,Downtown,13.058896,77.604177,48,Male,53,Unknown,Afternoon,Winter,0,No,2.87,Yes,Yes,Yes
CASE00109,2020-01-28,Assault,North,12.955626,77.593812,44,Male,72,Male,Morning,Summer,3,Yes,8.15,No,No,Yes
CASE00110,2020-01-28,Theft,South,12.928451,77.514207,20,Male,74,Female,Evening,Summer,3,No,9.53,No,No,No
CASE00111,2020-01-28,Assault,Southwest,12.962633,77.663662,28,Male,48,Male,Evening,Autumn,8,No,9.02,Yes,No,No
CASE00112,2020-01-28,Theft,Southeast,13.069907,77.567136,16,Unknown,35,Female,Evening,Summer,0,No,3.89,Yes,Yes,No
CASE00113,2020-01-29,Sexual Offense,East,12.917798,77.614916,38,Male,53,Male,Morning,Autumn,2,No,4.65,Yes,No,No
CASE00114,2020-01-29,Drug Offense,Southeast,13.098339,77.602957,55,Male,21,Female,Afternoon,Winter,2,Yes,8.28,No,No,No
CASE00115,2020-01-29,Fraud,North,13.008201,77.602652,18,Male,31,Female,Night,Summer,7,No,6.36,No,No,No
CASE00116,2020-01-29,Homicide,Downtown,13.096969,77.521444,18,Male,23,Male,Evening,Spring,1,No,5.93,Yes,No,No
CASE00117,2020-01-30,Drug Offense,West,13.087799,77.584696,22,Male,39,Female,Morning,Spring,5,Yes,9.34,Yes,No,No
CASE00118,2020-01-30,Theft,East,12.990563,77.590473,51,Male,53,Male,Afternoon,Winter,3,No,5.82,Yes,Yes,No
CASE00119,2020-01-30,Sexual Offense,Northeast,12.939698,77.646729,50,Male,47,Male,Afternoon,Winter,9,No,5.63,No,Yes,No
CASE00120,2020-01-30,Robbery,Northwest,12.932977,77.668004,30,Male,68,Male,Night,Summer,5,No,1.38,No,No,No
CASE00121,2020-01-31,Drug Offense,West,12.947998,77.608996,55,Unknown,51,Male,Evening,Autumn,4,No,1.62,Yes,No,Yes
CASE00122,2020-01-31,Sexual Offense,Northwest,13.042027,77.517357,18,Female,61,Male,Morning,Summer,8,Yes,1.07,Yes,Yes,No
CASE00123,2020-01-31,Assault,Southwest,12.95459,77.54737,44,Male,72,Male,Afternoon,Autumn,8,No,9.22,Yes,No,No
CASE00124,2020-01-31,Theft,South,12.968285,77.532987,45,Male,70,Male,Morning,Summer,0,No,4.68,Yes,No,Yes
CASE00125,2020-02-01,Assault,East,12.989756,77.524923,54,Female,43,Male,Afternoon,Spring,2,Yes,5.22,Yes,Yes,No
CASE00126,2020-02-01,Burglary,Central,13.082647,77.57318,33,Unknown,48,Female,Evening,Spring,0,No,8.61,Yes,No,Yes
CASE00127,2020-02-01,Drug Offense,East,12.937879,77.545879,26,Male,50,Female,Evening,Autumn,5,No,6.48,Yes,Yes,No
CASE00128,2020-02-01,Homicide,Southeast,12.901005,77.543661,58,Male,46,Male,Night,Summer,2,Yes,6.49,No,Yes,No
CASE00129,2020-02-02,Theft,Downtown,12.912019,77.510939,64,Unknown,74,Male,Afternoon,Winter,0,No,3.67,No,No,No
CASE00130,2020-02-02,Robbery,Southeast,13.080953,77.503534,53,Male,41,Male,Morning,Autumn,5,No,8.51,No,No,No
CASE00131,2020-02-02,Burglary,Southeast,13.029503,77.520554,55,Male,17,Female,Afternoon,Spring,4,No,2.49,Yes,Yes,No
CASE00132,2020-02-02,Assault,Southwest,12.954608,77.534439,16,Male,27,Female,Morning,Autumn,7,No,1.48,No,No,No
CASE00133,2020-02-03,Theft,West,12.935439,77.586197,44,Unknown,54,Male,Night,Summer,1,No,2.72,No,Yes,No
CASE00134,2020-02-03,Assault,Central,12.958853,77.602104,25,Female,42,Male,Afternoon,Winter,7,Yes,3.41,Yes,Yes,Yes
CASE00135,2020-02-03,Sexual Offense,Central,12.922959,77.528118,43,Female,14,Male,Evening,Winter,4,No,3.54,Yes,Yes,No
CASE00136,2020-02-03,Assault,Southeast,13.088307,77.584957,46,Female,45,Male,Morning,Autumn,7,Yes,7.03,No,Yes,No
CASE00137,2020-02-04,Robbery,Northwest,13.056841,77.56835,34,Male,32,Female,Evening,Summer,9,No,2.96,No,Yes,No
CASE00138,2020-02-04,Vandalism,Southwest,12.992478,77.536685,18,Female,49,Female,Night,Summer,3,Yes,7.09,Yes,No,No
CASE00139,2020-02-04,Burglary,Southeast,13.072993,77.501368,51,Male,14,Male,Night,Winter,3,Yes,1.82,Yes,No,No
CASE00140,2020-02-04,Kidnapping,South,12.949892,77.593404,58,Female,43,Female,Morning,Spring,9,No,2.32,No,Yes,No
CASE00141,2020-02-05,Kidnapping,Downtown,13.043424,77.63713,30,Male,33,Male,Afternoon,Summer,3,Yes,5.58,No,Yes,Yes
CASE00142,2020-02-05,Assault,West,13.071226,77.545255,48,Female,26,Male,Evening,Winter,5,No,9.3,No,Yes,No
CASE00143,2020-02-05,Robbery,Northeast,12.971354,77.526361,56,Male,31,Female,Evening,Winter,3,Yes,8.74,Yes,No,No
CASE00144,2020-02-05,Assault,South,13.051493,77.677409,58,Male,24,Female,Morning,Summer,8,No,9.72,Yes,No,No
CASE00145,2020-02-06,Assault,Northwest,12.959014,77.555005,60,Male,24,Male,Morning,Summer,8,No,6.85,Yes,Yes,No
CASE00146,2020-02-06,Theft,East,12.959771,77.544723,41,Male,34,Male,Morning,Autumn,2,Yes,7.08,No,No,Yes
CASE00147,2020-02-06,Fraud,East,12.921411,77.671419,31,Female,62,Female,Night,Spring,6,No,6.63,No,No,No
CASE00148,2020-02-06,Robbery,South,12.988012,77.663421,51,Male,30,Female,Night,Autumn,4,Yes,6.61,Yes,Yes,No
CASE00149,2020-02-07,Theft,Southeast,13.045942,77.589669,48,Male,75,Male,Evening,Autumn,8,Yes,2.32,Yes,No,Yes
CASE00150,2020-02-07,Assault,Northeast,13.088044,77.597848,35,Male,41,Male,Afternoon,Winter,1,No,5.89,No,No,No
CASE00151,2020-02-07,Sexual Offense,North,13.020759,77.54355,28,Female,30,Male,Morning,Winter,2,No,4.47,No,Yes,Yes
CASE00152,2020-02-07,Assault,North,13.072627,77.51566,48,Male,77,Unknown,Night,Spring,9,No,4.98,No,No,No
CASE00153,2020-02-08,Theft,Northwest,13.064499,77.614686,20,Female,53,Female,Afternoon,Autumn,4,Yes,5.71,Yes,No,No
CASE00154,2020-02-08,Robbery,Southeast,12.934669,77.519669,52,Female,75,Male,Morning,Autumn,4,No,2.16,No,No,Yes
CASE00155,2020-02-08,Kidnapping,Central,12.997163,77.589855,29,Female,23,Female,Afternoon,Winter,9,No,4.24,No,No,No
CASE00156,2020-02-08,Assault,Central,12.923385,77.688099,42,Male,24,Female,Morning,Winter,6,Yes,1.57,Yes,No,No
CASE00157,2020-02-09,Vandalism,West,13.036431,77.690567,38,Female,29,Male,Afternoon,Summer,7,No,9.82,No,No,No
CASE00158,2020-02-09,Drug Offense,Northeast,13.08998,77.547866,29,Male,43,Male,Evening,Autumn,7,No,2.07,Yes,No,No
CASE00159,2020-02-09,Assault,Northeast,12.927418,77.624823,55,Female,45,Female,Morning,Spring,0,No,3.33,No,No,No
CASE00160,2020-02-09,Vandalism,East,13.046777,77.594815,19,Female,18,Female,Morning,Autumn,0,Yes,9.02,No,Yes,No
CASE00161,2020-02-10,Burglary,Southwest,13.026448,77.675137,54,Male,39,Female,Evening,Winter,2,No,5.34,Yes,No,No
CASE00162,2020-02-10,Fraud,Northwest,13.016721,77.554286,34,Male,72,Female,Morning,Summer,0,Yes,2.22,No,No,No
CASE00163,2020-02-10,Fraud,North,12.978024,77.50074,62,Male,44,Male,Morning,Autumn,0,No,4.46,Yes,No,No
CASE00164,2020-02-10,Robbery,Northwest,12.971026,77.532512,19,Male,22,Male,Night,Spring,9,No,2.04,No,No,No
CASE00165,2020-02-11,Theft,Central,12.90905,77.569905,45,Male,55,Unknown,Evening,Winter,7,No,2.8,No,No,No
CASE00166,2020-02-11,Drug Offense,Central,12.943582,77.563144,34,Female,65,Male,Night,Summer,0,No,1.47,No,Yes,No
CASE00167,2020-02-11,Assault,South,12.903035,77.658273,46,Male,18,Female,Evening,Autumn,8,No,4.94,No,No,No
CASE00168,2020-02-11,Theft,West,13.016283,77.636112,46,Male,45,Female,Afternoon,Spring,1,No,8.26,Yes,No,No
CASE00169,2020-02-12,Theft,Northeast,12.921171,77.559911,24,Female,12,Female,Evening,Winter,8,No,6.27,Yes,No,No
CASE00170,2020-02-12,Fraud,Downtown,13.074604,77.591549,28,Female,28,Male,Evening,Spring,6,Yes,6.46,Yes,No,No
CASE00171,2020-02-12,Vandalism,Northwest,13.004629,77.519112,29,Male,37,Female,Night,Autumn,8,No,2.81,No,No,No
CASE00172,2020-02-12,Theft,Central,13.039938,77.679629,61,Female,32,Female,Morning,Winter,2,No,4.1,Yes,No,No
CASE00173,2020-02-13,Robbery,Southwest,12.982171,77.687085,25,Male,16,Female,Evening,Autumn,0,No,8.61,No,No,No
CASE00174,2020-02-13,Assault,East,13.012116,77.695961,63,Male,23,Female,Morning,Summer,0,No,1.79,Yes,Yes,No
CASE00175,2020-02-13,Fraud,North,13.088532,77.673711,46,Male,55,Male,Evening,Autumn,9,No,8.72,No,Yes,Yes
CASE00176,2020-02-13,Theft,West,12.916547,77.534792,52,Male,24,Male,Night,Summer,5,No,5.35,Yes,No,No
CASE00177,2020-02-14,Vandalism,Southwest,12.950788,77.509239,38,Male,76,Male,Evening,Autumn,6,No,8.53,No,No,No
CASE00178,2020-02-14,Burglary,West,13.055998,77.615919,42,Female,24,Male,Afternoon,Spring,8,No,3.86,No,No,No
CASE00179,2020-02-14,Sexual Offense,South,12.919747,77.682521,21,Female,60,Unknown,Evening,Spring,5,Yes,4.05,No,Yes,No
CASE00180,2020-02-14,Theft,Downtown,12.915132,77.53547,41,Male,17,Female,Evening,Winter,4,Yes,7.76,No,No,No
CASE00181,2020-02-15,Assault,Central,12.972308,77.501409,17,Male,78,Female,Morning,Spring,1,No,8.06,No,Yes,No
CASE00182,2020-02-15,Theft,East,12.918434,77.661099,60,Male,71,Female,Morning,Spring,1,No,3.07,No,No,No
CASE00183,2020-02-15,Sexual Offense,Southwest,13.017016,77.515359,28,Male,60,Male,Afternoon,Summer,7,No,9.76,No,No,No
CASE00184,2020-02-15,Homicide,West,12.945255,77.582741,34,Female,72,Unknown,Evening,Spring,0,Yes,1.76,Yes,Yes,No
CASE00185,2020-02-16,Assault,Northeast,13.07914,77.635777,16,Male,77,Male,Morning,Summer,7,No,1.62,No,Yes,Yes
CASE00186,2020-02-16,Fraud,South,13.0567,77.54736,55,Male,25,Male,Evening,Summer,9,No,6.36,No,Yes,No
CASE00187,2020-02-16,Drug Offense,Northeast,13.039941,77.516793,47,Male,33,Female,Night,Summer,6,No,7.5,Yes,Yes,No
CASE00188,2020-02-16,Robbery,East,13.023389,77.654004,37,Male,15,Female,Night,Autumn,6,No,9.65,No,No,No
CASE00189,2020-02-17,Robbery,Southwest,13.072693,77.626035,63,Male,66,Female,Afternoon,Summer,4,No,4.64,No,Yes,No
CASE00190,2020-02-17,Assault,South,12.944612,77.697698,44,Male,40,Male,Night,Autumn,2,Yes,1.23,No,No,Yes
CASE00191,2020-02-17,Theft,Southwest,13.074622,77.568862,17,Male,15,Female,Morning,Summer,6,Yes,6.43,No,No,No
CASE00192,2020-02-17,Sexual Offense,Central,13.057898,77.512352,55,Male,38,Male,Morning,Autumn,6,Yes,3.61,Yes,No,No
CASE00193,2020-02-18,Sexual Offense,Southeast,13.049632,77.64687,53,Male,76,Male,Afternoon,Winter,6,No,4.9,Yes,Yes,No
CASE00194,2020-02-18,Fraud,South,13.012251,77.604347,63,Male,12,Female,Evening,Winter,1,No,5.4,Yes,No,No
CASE00195,2020-02-18,Assault,Northeast,12.949249,77.542641,26,Female,37,Female,Morning,Autumn,2,No,1.58,Yes,No,No
CASE00196,2020-02-18,Assault,East,12.98471,77.656346,32,Unknown,57,Female,Night,Winter,2,No,5.37,No,No,No
CASE00197,2020-02-19,Vandalism,Downtown,13.058714,77.540751,58,Female,19,Female,Morning,Spring,3,No,4.84,Yes,No,No
CASE00198,2020-02-19,Sexual Offense,Central,12.906356,77.552132,23,Male,42,Female,Afternoon,Summer,8,No,7.41,No,Yes,Yes
CASE00199,2020-02-19,Sexual Offense,Southeast,13.05641,77.518506,37,Male,76,Female,Night,Autumn,9,No,6.81,No,Yes,No
CASE00200,2020-02-19,Drug Offense,Downtown,12.948014,77.579886,19,Male,78,Female,Night,Winter,0,No,2.67,No,No,No
CASE00201,2020-02-20,Fraud,North,12.928862,77.583786,26,Female,21,Female,Night,Winter,6,Yes,2.86,Yes,No,No
CASE00202,2020-02-20,Theft,Central,12.92314,77.602912,23,Male,66,Unknown,Afternoon,Spring,6,No,3.26,Yes,No,No
CASE00203,2020-02-20,Theft,East,12.90545,77.641793,24,Male,53,Unknown,Afternoon,Summer,3,No,2.61,Yes,No,Yes
CASE00204,2020-02-20,Sexual Offense,West,13.004717,77.68122,41,Male,22,Male,Evening,Spring,0,No,6.91,Yes,No,No
CASE00205,2020-02-21,Fraud,South,12.943652,77.527547,17,Male,33,Female,Evening,Autumn,2,No,9.95,No,No,No
CASE00206,2020-02-21,Theft,Southwest,13.097886,77.51087,31,Male,53,Female,Evening,Winter,4,No,6.87,No,Yes,No
